
2021/11/08 (17:03:41) | ===> btop++ v.1.0.21
2021/11/08 (17:03:41) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/02/19 (19:04:05) | ===> btop++ v.1.2.2
2022/02/19 (19:04:05) | ERROR: Stall in Runner thread, restarting!

2022/03/11 (22:02:05) | ===> btop++ v.1.2.2
2022/03/11 (22:02:05) | ERROR: Stall in Runner thread, restarting!

2022/04/09 (12:02:12) | ===> btop++ v.1.2.5
2022/04/09 (12:02:12) | ERROR: Stall in Runner thread, restarting!

2022/05/17 (22:00:52) | ===> btop++ v.1.2.6
2022/05/17 (22:00:52) | ERROR: Stall in Runner thread, restarting!

2022/05/19 (01:04:17) | ===> btop++ v.1.2.6
2022/05/19 (01:04:17) | ERROR: Stall in Runner thread, restarting!

2022/07/30 (21:26:35) | ===> btop++ v.1.2.8
2022/07/30 (21:26:35) | ERROR: Stall in Runner thread, restarting!
